Indonesia,Madura
kalau mau mancing jangan lupa membawa umpan,mon mancèng jhâ' kaloppaè ngèbâ bhânè
mancing pakai umpan udang,mancèng abhânè oḍâng
anak perempuan cantik itu suka tertawa.,kana' binè' raddhin rowa cè' bhângerra
"banyak pria mau menang sendiri, tidak berpikir panjang, sedih hati ini, keterlaluan! perasaanku sungguh sangat sedih.","bânnya' rèng lakè' karebbhâ dhibi' ta' mèkkèr lanjhâng seḍḍhina atè, kabhângeddhân! tang prasa'an seḍḍhi ongghu"
di alun-alun kota Bangkalan banyak pepohonan kayu besi.,è lon-alon koṭṭa bhângkalan bânnya' ka'-bhungkaan gombor
berbantal ombak berselimut angin,"abhântal ombâ' asapo' angèn "
beratnya atau sengsaranya nelayan pada waktu menangkap ikan di laut,"berrâ'na orèng sè amajâng mèghâ, jhuko'è tasè'"
"dikatakan kepada orang yang suka memfitnah, yang pada akhirnya mendapat malu sendiri.","abâli ka bhântal tèkerra dhibi' "
penuh dengan barang dagangan,sarat klabân bhârâng dhâghângan
orang itu sangat gampang marah.,orèng rowa cè' bhrângassâ
ibu mona mengambil pembantu dari desa,bu' mona ngala' bhâreng ḍâri dhisa
essu itu pembantunya mbak supi'.,essu rowa bhârengnga mbak supi'
"ketika diambil, saya malah dimarahi","bhâreng èkala', sèngko' ma' pas èombhâng"
ketika selesai lalu terkejut sesegera mungkin menghindar.,bhâreng la marè lajhu takerjhât pas dhuli nèsè
siapa yang ditemani?,sapa sè èkabhâreng?
perlu apa adiknya terburu-buru mau pulang?.,parlo apa alè'na ma' kabhuru sè molèa?
belum terlalu malam,malemma ghi' bhâri'
belum terlalu pagi.,lagghuna ghi bhâri'
piringnya jatuh lalu pecah,pèrèngnga ghâgghâr pas bhâsa
"tempurung tempatnya, terendam kuahnya, sampai batas akhir keinginannnya, senang orang tuanya.","bhâtok bâḍḍhâna, ngemmeng kuwana, totok sajjhâna, senneng rèng towana "
halaman becek semua,tanèyan bheccer kabbhi
selesai hujan jalanan banyak yang becek,"samarèna ojhân, jhâlânan paḍâ bheccer"
"meski becek berlumpur jika tidak maka akan becek, meski bagus telaten, jika tidak maka akan cinta.","sala leḍḍhu' lècèn, ḍhik lo' bheccerra, sala bhâghus pratèn, rjhik lo'  nèserra "
"keluar dari arah timur, muncul dari arah timur, datang dari arah timur",meḍḍhâl ḍâri tèmor
keluar dari pintu.,meḍḍhâl ḍâri labâng
"tidak disangka akan bertemu denganmu, tertegun lalu saling tersenyum.","ta' èsangka sè tatemmowa so dhika, bheghegghenan pas paḍâ mèsem"
kakinya tertusuk beling,sokona tecoco' bhelling
hatiku sangat gusar,tang atè cè' bhellissâ
memendam rasa rindu.,menḍem rassa kerrong
ya memang benar!,iyâ lakar bhenḍer!
tidak baik apa yang diperbuat,ta' bhenḍer sè èkalako
jangan membiarkan hati menjadi bengis.,jhâ' norodhi atè dhâddhi bhengngès
menimba air bersih lagi bening.,nèmbâ aèng bhersè tor bhennèng
semalam suntuk aku terbayang-bayang akan dirimu.,samalem bhentèng bulâ jâng-bâjângan ka dhika
"kalau nasi tempat wadahnya pincuk, kalau zakat haknya orang fakir miski","mon bherkat bâḍḍhâna takèr, mon zâkat ha'na orèng fakèr "
"nasi sudah menjadi bubur, tidak berguna lagi, sia-sia belaka","bherrâs dhâdhi tajhin "
hujan disertai angin yang tidak terhenti-henti.,ojhân angèn ra' bherreng
anaknya yang nakal dipukul berkali-kali menggunakan penebah.,ana'na sè mellèng èbhesbhes ngangghuy penebbhâ
mencabuti bulu ayam.,mitbhit buluna ajâm
jangan mempercayai fitnah.,jhâ'partajâ ka bhittenna
anak bapak Mat itu sangat nakal sekali.,ana'na Pa' mat rowa cè' bhlengngerra
orang desa berjalan kemana-mana mencari air dimusim kemarau.,orèng dhisa abhlintèng sè nyarè aèng è mosèm nemor
orang-orang yang berjudi lari berhamburan karena mau ditangkap polisi.,rèng-orèng sè amaèn juḍi paḍâ buru abhlitsadhân amarghâ ètangkebbhâ plisi
anak perempuan itu sangat ramah.,kana' binè' rowa cè' bhrâncana
orang itu sangat gampang marah.,orèng rowa cè' bhrângassâ
orang yang menyembah sungkem kepada Budha.,orèng sè nyembhâ nyongkem ka bhuḍḍhâ
"cinta itu buta, terlanjur erat tali ikatannya.","tarèsna nèko buta, kaḍung serret sambhughellâ"
sekalian rusak bubarkan semuanya.,san-mèsan rosak pabhujâr kakabbhi
kelereng ini banyak cuilnya.,lèker rèya kè'-bhukkèk
dipoles dengan cat warna putih.,èbhulâs bi' eccèt bâma potè
kakinya dibelit ular.,sokona èbhulet olar
bauyak pohon cemara.,bânnya' bhungkana comara
jangan terbwu-buru nanti jatuh,ajjhâ' ru-kebhuru ḍâgghi' labu
apa kamu baru saja datang?,apa bâ'na bhuru ḍâteng?
"pohon pinang yang tidak terlalu tinggi, burung manyar hinggap di dahan pohon turi, sungguh disayangkan kalau tidakjadi, karena sudah botak yang bersisir","pènang sè ta'  tèngghiâ, mana'  bèṭak nongko' è toroy, èman sè ta' dhâddhiâ, karè bhutak sè asoroy "
mencabuti bulunya ayam,mutbhudhi buluna ajâm
mencabut bulu ketiak.,mutbhut bulu klèncabhân
bermain-main beserta teman-temannya.,èn-maènan bi' kancana
rumahnya berdinding gedek,romana atabing biḍhik
kemarin ayah membeli gedek.,bâri' rama ngobângè biḍhik
makan mangga tiga buah.,ngakan pao tello mègghi'
"jangan terlalu banyak makan biji buah nangka, nanti bisa sering kentut.","jhâ' nya'-bânnya' ngakan bighilân, ḍâgghi' akento' ros-terrosân"
bangun tidur ada kotoran disudut matanya,jhâghâ tègung abilâ'ân
"dikatakan kepada orang yang tergopoh-gopoh dalam mengerjakan sesuatu, sehingga hasil pekerjaannya kurang baik seperti yang  diharapkan","ghâncang ta' nyapo' bilis "
"manusia bisa dibujuk atau dikuasai dengan budi baik dan mulut manis, nyatanyata kena tipu.","bilis matè ka maddhu otabâ cokka "
bibirnya bengkak semua terkena hantama,bibirrâ bingngol kabbhi
"bintang pagi, rasi bintang waluku","bintang nangghâlâ, bintang apoy, bintang bhrândhâs, bintang tèmor"
"bintang puyuh, bintang kertika","bintang kertèka, bintang ghârtèka"
dicubit sedikit saja sudah cengeng.,ètobi' ḍhigḍhi'bhâi la birnyè
dengan menyebut nama Allah yang Maha pengasih lagi Maha penyayang.,bit asma èpon Allah sè Ma'a Mora tor Asè
"tidak terbilang, tidak terhitung, tidak bisa dihitung",ta' èkennèng bitong
"dikatakan kepada orang yang membeberkan kejelekan famili, sanak keluarga sendiri kepada orang lai","miṭṭa' buri'è jhâlân rajâ, abiṭṭa' buri' tengnga èmhong "
biasakan supaya tidak lupa,biyasaaghi ma'lè ta' loppa
biasanya kalau sudah malam nyamuk mengerubung.,biyasana mon la malem rengngè' ngarobung
"ibarat orang lama berkelana dan pulang ke tanah kelahirannya, tentu dia enggan keluar lagi.","blibis molè ka rabâ "
saya berasa mau muntah bila makan kue ini.,sèngko' arassa bliyât mon ngakan jhâjhân rèya
tidak memakai sekat.,lo' ngangghuy brâna
badan saya terasa meriang semua.,tang bhâdhân arassa briyâng kabbhi
saya tidak suka melihat anak yang nakal itu.,sèngko' briyâng ngatèla' kana' sè meller rowa
"terlambat, paling belakang yang datang",palèng buḍi sè ḍâteng
garam dan cabai' lombok untuk sambal,"bujâ cabbhi, jâi rèngès"
terasa hambar karena kurang garamnya,arassa cèa polana korang bujâna
saya adalah orang Madura.,bulâ panèka orèng Madhurâ
menjolok bintang malah bulan yang jatuh,ghâi' bintang ghâgghâr bulân
jenis celurit berbentuk mirip bulu ayam,arè' bulu ajâm
"berdiri bulu roma, kuduk",manjheng buluna kolè'
jauh di sebelah barat,è bun bârâ'
jauh di sebelah timur,è bun tèmor
jauh di sebelah selatan,è bun lao'
jauh di sebelah utara.,è bun ḍâjâ
rumahku menghadap ke selata,tang bungko aḍḍhep ka lao'
baru saja bangun tidur.,ghi' bhuru abungo
"saya tidak tahu apa-apa, hanya mengekor saja.","sèngko' ta' tao pan-apan, kèng la noro' buntè' bhâi"
"takut tertangkap polisi, maling itu lari ke tempat yang jauh.","tako' ètangkep plisi, malèng rowa buru ḍâ' jhâuna"
mangganya banyak yang busuk.,paona bânnya' sè busso'
"lupa diri, lupa akan asal penderitaan dirinya, sehingga ia berubah menjadi congkak.","buta bhuru mella' "
waktu yang terbuang,bâkto sè tabuwâng
siapa bilang tidak akan mengerti,ca'na sèra sè ta' ngartèa
boleh dibilang saya ini tidak punya uang,ca' oca'an sèngko' rèya ta' anḍi' pèssè
seperti pembicarakan masa yang lalu itu,mara ca'-oca'an lambâ' rowa
"katanya bukan mangga, tapi diiris, mungkin masih muda, katanya tidak tertarik, tapi malah dilirik, mungkin hanya senang.","ca' èpon lo' pao, mè'  èsèksèk, kèng mancèr ngara, ca' èpon lo'  terro, mè èlèrèk, kèng terro ngara "
"dikatakan pada orang yang menginginkan pekerjaan yang lebih banyak dari pada yang dipunyai sekarang, tamak dan serakah","cabbhi nantang lalap "
besar badannya tapi bebal atau pandir,"jâ-rajâna cabbhi mekkasân ta' peḍḍhes "
"lomboknya berwarna amat merah, tegalnya ditanami ketela, engkau cantik siapa namanya, saya ingin mengenalmu","cabbhina cè' ra-mèrana, tegghâllâ tamennè tèla, dhika raddhin sèra nyamana, bulâ ferro sè kennalla "
"ini lombok bawa kesana, buat sangu untuk naik perahu, jangan sedih dan jangan susah, cuma hanya bersenda gurau","ya' cabbhi kèbâ kassa, kasango apraoan, jhâ' seḍḍhi bân jhâ' sossa, coma kèng co-kocoan "
bercebur ke sungai,acabbhur ka songay
tercebur ke sumur,tacabbhur ka somor
dikatakan pada orang yang telah terlanjur melakukan sesuatu,"karè bâcca acabbhur sakalè "
pekerjaan yang sia-sia.,"cabhul ajhângo langngè "
banyak yang akan dikunjungi,bânnya' sè ècabissâ
siapa yang mencabut?,sapa sè nyabut?
berbicara dengan memakai tatakrama,acaca ngangghuy tatakrama
"sudah satu jam yang berembuk, tapi hanya pembicaraan yang tidak ada gunanya","ampon sajhâm sè aparembhâghân, nangèng caca matta bisaos"
"bila menyuruh-nyuruh kamu, tidak bisa diharapka",mon aro-soro ka bâ'na ta' bisa ècagherraghi
tulisan cakar ayam,tolèsân cakar ajâm
jangan suka mencela-cela orang,jhâ' dhujân lè-calèan orèng
jangan sering menyela pembicaraan orang lai,jhâ' dhujân ko'-nyalko'
lenganku banyak terluka diterkam kucing.,tang tanang loka kabbhi ècalma' kocèng
perasaan yang seakan-akan terjatuh di dalam hati.,rassa caltong ḍâlem atè
dikatakan kepada orang yang selalu memuji-muji dirinya sendiri.,"mara orèng nabhhu canang "
jangan bersedih hati,ta' osa atampa cangkèm
"membeli cangkir di Pasar minggu, ditahan-tahan hanya karena menginginkan, jika dipikir dengan sungguh-sungguh, kenyataannya besar penghasilannya.","mellè cangkèr pasar mènggu, èjâ-kajâ kèng terrona, mon èpèkkèr kalabân ongghu, nyata rajâ panrèmana "
dari terlalu lamanya yang berdiri betisku sampai terasa kejang kaku.,ḍâri abiddhâ sè naddhek tang bettès dhâghâ arassa cantengngan
menciduk air memakai gayung,nyello' aèng ngangghuy cantèng
membatik memakai alat canting,abhâtèk ngangghuy cantèng
mempersembahkan cinta dengan seribu senyuma,nyaos tarèsna saèbu pèsem
meneteskan air mata,nyapcap aèng mata
pak tani memakai caping.,pa' tanè acapèngan
masih mendapati waktu subuh,ghi' nyapo' sobbhu
kamu tidak akan bisa menyamai ketampanan anak itu,bâ'na ta' kèra nyapo' ḍâ' gânṭengnga kana' rowa
kampung lebak terkena banjir,kampong lebbhâk ècapo' bâ'â
dikejar tapi tidak tersusul,ètabâng tapè ta' kacapo'
"ramai sekali, gaduh, biasa dikatakan kepada sekelompok orang yang berbicara masing-masing dengan bingar bingar","cara pasar kojhu' "
darahnya berceceran dimana-mana.,ḍârâna acarèccèdhân è mankamman
karena sering ingkar janji saya sampai merasa kesal hati.,"polana segghut lopot jhânjhi, sèngko' po'-capo' caremmet"
jangan banyak berceritera.,jhâ' bânnya' carèta
tidak ada yang ketinggalan?,taḍâ' sè cèccèr?
bersamaan dengan itu anginnya telah reda.,bhinareng angènna pas ceḍḍhu
gurauan itu membahayaka,ghâjâ' jârèya nyelakanè
"ketela berulat berwarna hitam, pisang belah ada dibawahnya, kalau malam tidak tentu gelap, terang bulan sungguh sangat indahnya","tèla oreng bârna celleng, gheḍḍhâng bellâ èbâbâna, mon malem ta' tanto petteng, paḍḍhâng bulân cè' pernana "
"menghitam bijinya juwet, menunggang kuda jatuh terlungkup, jangan terlalu senang beristeri dua, panas harta dan terlilit hutang","ngacelleng bighina dhuwâ' , nompa' jhârân labu napang, jhâ' neng-senneng abinè ḍuwâ' , panas bhârâng rajâ otang "
"naik becak bercat kuning, payung hitam dirodanya, bagaimana kalau tidak berhasil, terlanjur senang akan wajahnya.","nompa' bèca' eccèt konèng, pajung celleng è roḍana, ḍâ'râmma mon lo' èkennèng, karè senneng ka robâna "
berteduh ditempat yang sejuk,anaong è kennengngan sè cellep
sakit panas dingin,sakè' panas cellep
cepat dimakan nanti keburu dingin,"dhuli kakan, ḍâgghi' capo' cellep"
"kalau dingin jangan berselimut, mengambil selimut di ranjang, kalau punya keinginan jangan takut, mas emmut anggap bujanga","kalamon cellep jhâ' po'-sapo', ngala' slimut è ranjang, kalamon karep jhâ' ko'-tako' , mas emmut angghep bujang "
"kerap sapinya, tengger cemetinya, cerai suaminya, saya sebagai gantinya.","kerrap sapèna, tongko'  cemeṭṭèna, tellak lakèna, sèngko' ghântèna "
sambalnya sangat pedas.,cèngena cè' peḍḍhissâ
segar dan asri.,cengngar tor asrè
aku termenung memikirkan dirimu,cengngeng bulâ mèkkèrè dhika
ditempeleng sampai miring kepalanya.,èpacentar cèṭagghâ mèrèng
kalau berbicara jangan terlalu nyaring.,mon acaca jhâ' tèng-kecenṭèngan
mengambil nasi menggunakan centong.,ngala' nasè' ngangghuy cènṭong
akan ditelan bulat-bulat.,èceppa'a ontal malang
apakah bisa dipercepat?,bhâ' bisa'a èpaceppet?
cat berwarna hijau tua,cèt abârna bhiru towa
rumah yang bercat kuning,roma sè acccèt konèng
membuka aibnya sendiri di khalayak ramai.,"nyello' buri'è tengnga jhâlân "
saya bersama teman-teman berjalan-jalan ke pelosok desa yang sangat terpencil.,sèngko' sakanca'an akalènjâr ḍâ' dhisa è ṭong-ceṭṭongnga
"sotonya berasa hambar, barangkali kurang garamnya.","sotona arassa cèya, la-pola korang bujâna"
kuahnya berasa hambar.,kuwana arassa ciya
musuhnya mati terkena tusukan keris,mosona matè kennèng coco kerrès
kakinya tertusuk duri,sokona te coco' ḍuri
paling enak makan kepiting yang dicocol ke cuka bercampur lombok.,palèng nyaman ngakan pètèng sè èdheddhel ka cokka campor cabbhi
cukup sampai disini saja,cokop ghân kanna' bhâi
pisau untuk mencukur,"toḍi' penyokor, jaḍḍhing pemaras "
obat yang diberi kakak itu sangat manjur.,obhât sè èberri' kaka' rowa cè' nyokoddhâ
dikatakan kepada orang yang sangat suka menyampaikan kejelekan orang lain,"sajhâng-lanjhângnga Jhâlân ghi' lanjhâ-ngan cola' "
"bambu ditebang daunnya berjatuhan, orang merokok tentu mulutnya terbatuk-batuk.","perrèng ètoko' , ḍâunna arontoan, orèng aroko' , colo'na abâto'an "
"kue nagasari ditukar kue lepat, lalu hilang rasanya, jika matahari perlahan akan tenggelam, wajah sudah tidak bercahaya.","naghâsarè porop leppet, ma' lajhu èlang rassana, ḍu mon arè laon compet, ropa èlang cajâna "
bunyinya memekakkan telinganya.,monyèna complengngan ḍâ' kopèng
rumah anda dimana?.,compo'na sampèyan èka' ḍimma?
jangan mendorong-dorong kepala.,jhâ' kot-congkodhân cèṭak
kamu sebagai anak yang lebih tua selayaknya memberikan contoh yang baik terhadap adik-adikmu.,bâ'na kana' sè lebbi towa mastèna nyontoè sè beccè' ka lè'-alè'na
yang sudah dibuang atau dihinakan tidak layak dipungut atau dimuliakan lagi.,"copa mon ghâgghâr ta' kennèng èjhilât polè "
es lilinnya diemut.,ès lilinna ècopcop
menempati rumah yang sangat sempit,ngennengngè rama sè pè'-copè'
seperti tak akan berpisah,cora' sè ta' apèsaa
"kaos penutup dada, kutang warna hitam dijadikan kemdung, kurus disebabkan olehmu, siang malam tidak bisa tidur.","kaos topona ḍâḍâ, kotang celleng ghâbây koḍung, koros marghâna sèḍâ, sèyang malem ta'  nyèḍḍâ tèḍung "
jangan dimiringkan nanti bisa rusak.,jhâ' pamèrèng ḍâgghi' rosak
membayar dam seekor kambing.,majâr ḍam sèttong embè'
pintunya jangan dibuka terlalu lebar.,labângnga jhâ' ḍarḍar
dari dulu sampai sekarang,ḍâri lambâ' sampè' satèya
dari atas ke bawah,ḍâri attas ka bâbâ
dari sebab itu.,ḍâri sebâb rowa
dari miskinnya sampai tidak mampu membeli beras,ḍâri mèskènna dhâghâ ta' bisa mellè bherrâs
adikku terdiam saking bingungnya,tang alè' ta' acacaan ḍâri bhingongnga
karena sangat sakit sampai menangis menjerit-jerit.,ḍâri sakè'na dhâghâ nangès arat-tarat
